sentence,main_mountain,mentioned_mountains
"Ajusco is a 3,930 m (12,894 ft) lava dome volcano located just south of Mexico City, Mexico, in the Tlalpan borough of the city.",ajusco,"['dom', 'ajusco']"
"It is the highest point in the city.

Etymology
Ajusco is a Náhuatl word variously translated as ""source of waters"" or ""watered grove"", and the Lerma River and Balsas River draw some of their source waters from this area.",ajusco,['ajusco']
"Mount Erciyes (Turkish: Erciyes Dağı) is an inactive volcano in Kayseri Province, Turkey.",dom,['mount erciyes']
"It is a large stratovolcano surrounded by many monogenetic vents and lava domes, and one maar.",dom,['dom']
Bomber Mountain is the crest of a ridge line within the Bighorn Mountains of the U.S.,bomber mountain,['bomber mountain']
"It borders the south side of Cloud Peak, the tallest peak in the range.",bomber mountain,['cloud peak']
"A military aviation accident that occurred upon the mountain in 1943 led to it being named Bomber Mountain in 1946.

Climate
1943 air accident
On 28 June 1943, a B-17F-55-DL Flying Fortress, serial number 42-3399, nicknamed ""Scharazad"", departed Pendleton Army Air Base in Pen",bomber mountain,['bomber mountain']
"The Pic Sans Nom (3,913 m) (Nameless Peak) is a mountain in the Massif des Écrins in the French Alps.",ailefroide,['pic sans nom']
"It lies in the middle of the steep mountain mass that runs south-west from Mont Pelvoux to the Ailefroide.
Its steep and extensive northern precipices are bounded by the Glacier Noir; its southern slopes, providing the only relatively easy means of access, are bounded by the Glacier du Coup de Sabre and the Glacier de Sialouze.",ailefroide,"['ailefroide', 'mont pelvoux']"
"Ortler (German pronunciation: [ˈɔrtlɐ]; Italian: Ortles [ˈɔrtles]) is, at 3,905 m (12,812 ft) above sea level, the highest mountain in the Eastern Alps outside the Bernina Range.",ortler,['ortler']
It is the main peak of the Ortler Range.,ortler,['ortler']
"In German the mountain is commonly referred to as ""König Ortler"" (King Ortler), like in the unofficial hymn of South Tyrol, the Bo",ortler,['ortler']
"Piz Palü is a mountain in the Bernina Range of the Alps, located between Switzerland and Italy.",piz palü,['piz palü']
"Middle Teton (12,809 feet (3,904 m)) is the third-highest peak in the Teton Range, in the U.S.",middle teton,['middle teton']
"Located within Grand Teton National Park, the peak is immediately southwest of Grand Teton, from which it is separated by a broad high ridge at 11,600 feet (3,540 m), known to local climbers as the Lower Saddle.",middle teton,['grand teton']
"The Middle Teton Glacier is located on the eastern slopes of the peak.
Middle Teton is a classic pyramidal alpine peak and is sometimes included as part of the Cathedral Group",middle teton,['middle teton']
"The Aiguille d'Argentière (3,898 metres (12,789 ft)) is a mountain in the Mont Blanc massif on the border between France and Switzerland.",aiguille d'argentière,"['mont blanc', ""aiguille d'argentière""]"
"The second highest summit of the Aiguille d'Argentière is the prominent rock-tower Flèche Rousse (3,878 metres (12,723 ft)) southeast of the main-summit.
The first ascent of the mountain was by a British party comprising Edward Whymper and A.",aiguille d'argentière,"[""aiguille d'argentière""]"
"Mountains named Granite Peak or variations.

Canada
In Canada, according to NRCan CGNDB:

United States
In the United States, according to USGS GNIS:

See also
Granite Mountain (disambiguation)
Granite Mountains (disambiguation)",granite peak,['granite peak']
Mount Gibbs is located in the Sierra Nevada of the U.S.,mount gibbs,['mount gibbs']
"state of California, 2.6 miles (4 km) south of Mount Dana.",mount gibbs,['mount dana']
"The summit marks the boundary between Yosemite National Park and the Ansel Adams Wilderness, and Mount Gibbs is the sixth-highest mountain, of Yosemite.
The peak is accessible either from the west, starting at Tioga Pass Road, or from the east, via Bloody Canyon from the",mount gibbs,['mount gibbs']
"Mount Crillon is a high peak of the Fairweather Range, the southernmost part of the Saint Elias Mountains.",mount fairweather,['mount crillon']
"It lies southeast of Mount Fairweather, in the promontory between the Gulf of Alaska and Glacier Bay.",mount fairweather,['mount fairweather']
"The peak was named after Felix-Francois-Dorothee de Bretton, Comte de Crillon, by his friend, the French explorer Jean Francois de Galaup de la Perouse.

Location
Mount Crillon lies about 20 miles (32 km) southeast of Mount Fairweather.",mount fairweather,"['mount fairweather', 'mount crillon']"
"Mont Blanc de Cheilon (also spelled Mont Blanc de Seilon) is a mountain of the Pennine Alps, located in the Swiss canton of Valais.",mont blanc,"['mont blanc', 'mont blanc de cheilon']"
"Culminating at 3,870 metres above sea level, it is one of the highest summits between the Grand Combin to the west and the Dent Blanche to the east.",mont blanc,"['dent blanche', 'grand combin']"
"Aiguille du Goûter (3,863 m) is a mountain in the Mont Blanc massif of Haute-Savoie, France.",mont blanc,"['mont blanc', 'aiguille du goûter']"
"Borah Peak, also known as Mount Borah or Beauty Peak, is a mountain in the western United States and the highest summit in Idaho.",borah peak,['borah peak']
"The Grande Casse (3,855 m) is the highest mountain of the Vanoise Massif in the Graian Alps in the Savoie department, France.",grande casse,['grande casse']
"A high ridge connects it to the nearby peak of Grande Motte.
The ridge connecting the Grande ",grande casse,['grande motte']
"Humphreys Peak (Hopi: Aaloosaktukwi, Navajo: Dookʼoʼoosłííd  ""its summit never melts"") is the highest mountain and the second most prominent peak after Mount Graham in the U.S.",humphreys peak,['humphreys peak']
"Humphreys Peak is the highest of a group of dormant volcanic peaks known as the San Francisco Peaks.
Humphreys Peak was name",humphreys peak,['humphreys peak']
"Santa Fe Baldy (Tewa: Povip'in) is a prominent summit in the Sangre de Cristo Mountains of New Mexico, United States, located 15 mi (24 km) northeast of Santa Fe.",santa fe baldy,['santa fe baldy']
There are no higher mountains in New Mexico south of Santa Fe Baldy.,santa fe baldy,['santa fe baldy']
"Mount Baldwin may refer to:

Mount Baldwin (California), a mountain in the Sierra Nevada, US
Mount Baldwin (Antarctica), a mountain in the Alamein Range, Antarctica",mount baldwin,['mount baldwin']
"The Aiguille du Midi (French pronunciation: [eɡɥij dy midi], ""Needle at midday"") is a 3,842-metre-tall (12,605 ft) mountain in the Mont Blanc massif within the French Alps.",mont blanc,"['mont blanc', 'aiguille du midi']"
"It is a popular tourist destination and can be directly accessed by cable car from Chamonix that takes visitors close to Mont Blanc.

Cable car
The idea for a cable car to the summit, the Téléphérique de l'Aiguille du Midi, was originally proposed around 1909, but did not come into operation until 1955 when it held the title ",mont blanc,"['mont blanc', 'aiguille du midi']"
"Mount Moran (12,610 feet (3,840 m)) is a mountain in Grand Teton National Park of western Wyoming, USA.",mount moran,"['grand teton', 'mount moran']"
"Mount Moran dominates the northern section of the Teton Range rising 6,000 feet (1,800 m) above Jackson Lake.",mount moran,"['dom', 'mount moran']"
"Like the Middle Teton in the same range, Mount Moran's face is marked by a distinctive",mount moran,"['middle teton', 'mount moran']"
Monte Viso or Monviso (Italian pronunciation: [moɱˈviːzo]; Occitan: Vísol; Piedmontese: Brich Monviso or Viso) is the highest mountain of the Cottian Alps.,monte viso,['monte viso']
Monte Viso is well known for its pyramid-like shape.,monte viso,['monte viso']
"Sauyr Zhotasy (Kazakh: Сауыр жотасы, Sauyr jotasy), also known as Muz Tau (Chinese: 木斯岛山; pinyin: Mùsīdǎo Shān), at 3,840 m is the highest point in the Saur Range and of the entire Saur-Tarbagatai mountain system, part of the Tien Shan, on the border between Kazakhstan and China.",sauyr zhotasy,['sauyr zhotasy']
The Nesthorn is a mountain in the Bernese Alps.,nesthorn,['nesthorn']
"It is part of the subrange of the Bernese Alps that culminates at the Aletschhorn.

The Nesthorn was first ascended from Belalp in 1865 by B.",nesthorn,"['aletschhorn', 'nesthorn']"
"Cerro Chirripó is the highest mountain in Costa Rica, with an elevation of 3,821 meters (12,536 feet).",cerro chirripó,['cerro chirripó']
"The Aiguille des Glaciers (3,816 m) is a mountain in the Mont Blanc massif of the Graian Alps.",aiguille des glaciers,"['mont blanc', 'aiguille des glaciers']"
"It lies on the borders of Savoie and Haute-Savoie in France and Aosta Valley in Italy.
A fine pyramidal peak when seen to the south from the Italian side, Aiguille des Glaciers dominates the view from the upper Veny Valley, although it is less distinct from its French side.",aiguille des glaciers,"['dom', 'aiguille des glaciers']"
"South Teton (12,519 feet (3,816 m)) is the fifth-highest peak in the Teton Range, Grand Teton National Park, in the U.S.",south teton,"['grand teton', 'south teton']"
The peak is south of Middle Teton and just west of Cloudveil Dome and is part of the Cathedral Group of high Teton peaks.,south teton,"['dom', 'middle teton', 'cloudveil dome']"
Several periods of glaciation have carved South Teton and the other peaks of the ra,south teton,['south teton']
"Mount Kerinci (Kerinci: Gunung Kincai, Minangkabau: Gunuang Kurinci, Indonesian: Gunung Kerinci), also spelled Kerintji, is an active stratovolcano and the highest mountain in Sumatra, Indonesia.",mount kerinci,['mount kerinci']
Mount Kerinci is ranked 32nd by topograph,mount kerinci,['mount kerinci']
"The Pasterze, Austria's most extended glacier, lies on the Grossglockner's eastern slope.
The characteristic pyramid-shaped peak actua",grossglockner,['grossglockner']
"Pigne d'Arolla (3,787 m) is a mountain in the Pennine Alps in Switzerland.",pigne d'arolla,"[""pigne d'arolla""]"
"Mount Erebus () is the southernmost active volcano on Earth, located on Ross Island in the Ross Dependency in Antarctica.",mount sidley,['mount erebus']
"With a summit elevation of 3,792 metres (12,441 ft), it is the second most prominent mountain in Antarctica (after Mount Vinson) and the second-highest volcano in Antarctica (after the dormant Mount Sidley).",mount sidley,"['mount sidley', 'mount sidley']"
"It is the highest point on Ross Island, which is also home to three inactive volcanoes: Mount Terror, Mount Bird, and Mount Terra Nova.",mount sidley,['mount terror']
"Mont Pourri (3,779 m) is a mountain in the Vanoise Massif in the Graian Alps.",mont pourri,['mont pourri']
"It is located in the Vanoise National Park, nearby Les Arcs ski resort.

References
External links
""Mont Pourri"".",mont pourri,['mont pourri']
"Archived from the original on 2016-03-04.
Mont Pourri, France, Peakbagger.
Refuge du Mont Pourri CAF 2370m (Refuge gardé)",mont pourri,['mont pourri']
"Mount Fuji (富士山, Fujisan, Japanese: [ɸɯꜜ(d)ʑisaɴ] ) is an active stratovolcano located on the Japanese island of Honshu, with a summit elevation of 3,776.24 m (12,389 ft 3 in).",mount fuji,['mount fuji']
"It is the highest mountain in Japan, the second-highest volcano located on an island in Asia (after Mount Kerinci on the Indonesian island of Sumatra), and seventh-highest peak of an island on Earth.",mount fuji,['mount kerinci']
Mount Fuji last erupted from 1707 to 1708.,mount fuji,['mount fuji']
"Wildspitze (German pronunciation: [ˈvɪltˌʃpɪt͡sə] ) is the highest mountain in the Ötztal Alps and in North Tyrol, as well as the second highest mountain in Austria after the Großglockner and in terms of prominence (2261 m) is the fourth summit of the Alps and the fifteenth of Europe.

Location
The Wildspitze is on a ridge called Weißkamm (""white ridge"") that joins the main chain of the Alps at the Weißkugel.",wildspitze,"['wildspitze', 'weißkugel']"
Greenhorn Mountain is the highest summit of the Wet Mountains range in the Rocky Mountains of North America.,greenhorn mountain,['greenhorn mountain']
"The prominent 12,352-foot (3,765 m) peak is located in the Greenhorn Mountain Wilderness of San Isabel National Forest, 5.2 miles (8.4 km) southwest by west (bearing 238°) of the Town of Rye, Colorado, United States, on the boundary between Huerfano and Pueblo counties.",greenhorn mountain,['greenhorn mountain']
"The summit of Greenhorn Mountain is the highest point in Pueblo County, Colorado.",greenhorn mountain,['greenhorn mountain']
"Volcán de Fuego  (Spanish pronunciation: [bolˈkan de ˈfweɣo]; Spanish for ""Volcano of Fire"", often shortened to Fuego) or Chi Q'aq' (Kaqchikel for ""where the fire is"") is an active stratovolcano in Guatemala, on the borders of Chimaltenango, Escuintla and Sacatepéquez departments.
Part of the mountain range of the Sierra Madre, the volcano sits about 16 kilometres (9.9 mi) west of Antigua, one of Guatemala's most famous cities and a tourist destination.",volcán de fuego,['volcán de fuego']
"Mount Villard (12,350 feet (3,760 m)) is in the Beartooth Mountains in the U.S.",mount villard,['mount villard']
"Teewinot Mountain (12,330 feet (3,758 m)) is the sixth highest peak in the Teton Range, Grand Teton National Park, Wyoming.",grand teton,"['grand teton', 'teewinot mountain']"
"The peak is northeast of the Grand Teton, and the two are separated from one another by the Teton Glacier and Mount Owen.",grand teton,"['grand teton', 'mount owen']"
"Teewinot Mountain rises more than 5,500 feet (1,700 m) above Jenny Lake.",grand teton,['teewinot mountain']
"The Aiguille du Dru (also the Dru or the Drus; French, Les Drus) is a mountain in the Mont Blanc massif in the French Alps.",aiguille du dru,"['mont blanc', 'aiguille du dru']"
"""Aiguille"" means ""needle"" in French.
The mountain's highest summit is:

Grande Aiguille du Dru (or the Grand Dru) 3,754 m
Another, slightly lower sub-summit is:

Petite Aiguille du Dru (or the Petit Dru) 3,733 m.
The two summits are on the west ridge of the Aiguille Verte (4,122 m) and are connect",aiguille du dru,"['aiguille verte', 'aiguille du dru']"
Aoraki / Mount Cook is the highest mountain in New Zealand.,mount cook,"['mount cook', 'aoraki / mount cook']"
"Aoraki / Mount Cook consists of three summits: from south to north, the Low Peak (3,593 m or 11,788 ft), the Middle Peak (3,717 m or 12,195 ft) and the High Peak.",mount cook,"['mount cook', 'aoraki / mount cook']"
"Pointe de Charbonnel is a mountain of Savoie, France.",pointe de charbonnel,['pointe de charbonnel']
"Piz Morteratsch (3,751 m) is a mountain in the Bernina Range in Switzerland.",piz morteratsch,['piz morteratsch']
"Sawtooth Mountain is a shield volcano, and part of the polygenetic Indian Heaven Volcanic Field in Washington, United States.",sawtooth mountain,['sawtooth mountain']
"Helens and Mount Adams, and dates from the Pleistocene and Holocene.",sawtooth mountain,"['mount adams', 'mount adams']"
"Sawtooth Mountain is the third highest point at 5,354 feet (1,632 m)in this region.",sawtooth mountain,['sawtooth mountain']
Sawtooth Mountain is the third highest point in the Indian Heaven Wilderne,sawtooth mountain,['sawtooth mountain']
"Mount Davis may refer to:

Places
United States
Mount Davis (Yavapai County, Arizona), near Mount Union
Mount Davis (California)
Mount Davis (New Hampshire)
Mount Davis (Pennsylvania), highest point in Pennsylvania

Elsewhere
Mount Davis (Antarctica)
Mount Davis (British Columbia), Canada
Mount Davis, Hong Kong, a hill in Kennedy Town, Hong Kong Island

Other uses
Mount Davis (Oakland), a section of seats at the Oakland Coliseum in Oakland, California

See also
Davis Mountains, Texas
Davis Peak ",mount davis,['mount davis']
"According to USGS GNIS, Mount Morrison may refer to one of four possible peaks in the United States:

It can also refer to:

Mount Morrison in the Lost River Range of Idaho.
One of two mountains in Antarctica, in Enderby Land and Victoria Land.
Mount Morrison (Yushan), in Taiwan.",mount morrison,['mount morrison']
"Mount Taibai (Chinese: 太白山; pinyin: Tàibái Shān) is a mountain located on the border between Mei, Taibai and Zhouzhi counties in the south west of Shaanxi Province, China.",mount taibai,['mount taibai']
"Mount Taibai is also the highest mountain in Eastern China.

History
During the reign of the legendary, morally perfect Three So",mount taibai,['mount taibai']
"Aiguille de la Grande Sassière is a mountain in the Graian Alps, on the boundary between the Aosta Valley (northern Italy) and the French department of Savoie.
On the Italian side, it marks the end of the Valgrisenche; on the French side it commands the Val d'Isère.


== References ==",aiguille de la grande sassière,['aiguille de la grande sassière']
"Lanín is an ice-clad, cone-shaped stratovolcano on the border of Argentina and Chile.",lanín,['lanín']
It forms part of two national parks: Lanín in Argentina and Villarrica in Chile.,lanín,['lanín']
"Mount Adams most often refers to:

Mount Adams (Washington) (3,743 m), a volcano in the Cascades and second highest mountain in the Washington state

Other mountains
Mount Adams (New Hampshire) (1,760 m) in the White Mountains near Mount Washington, second highest in New England
Mount Adams (Colorado) (4,248 m) in the Rocky Mountains near the Crestones
Mount Adams (Montana) (2,344 m), a mountain in Flathead County, Montana
Mount Adams (New York) (1,073 m)
Mount Adams (New Zealand) (2,208 m)
Moun",mount adams,"['mount adams', 'mount adams']"
"Teepe Pillar (12,271 feet (3,740 m)) is located in the Teton Range, Grand Teton National Park, Wyoming, immediately south of Grand Teton.",grand teton,"['grand teton', 'teepe pillar']"
Teepe Pillar is separated from Grand Teton by a col which drops sharply to the east and west.,grand teton,"['grand teton', 'teepe pillar']"
"From Jackson Hole, Teepe Pillar is difficult to observe except from the northeast as it is hidden from view by Disappointment Peak.
",grand teton,"['teepe pillar', 'disappointment peak']"
"Weißkugel (German pronunciation: [ˈvaɪsˌkuːɡl̩] ; Italian: Palla Bianca), or Weißkogel, is the second highest mountain in the Ötztal Alps and the third highest mountain in Austria.",weißkugel,['weißkugel']
"Minarets are generally used to project the Muslim call to prayer (adhan) from a muezzin, but they also served as landmarks and symbols of Islam's presence.",minarets,['minarets']
"They can have a variety of forms, from thick, squat towers to soaring, pencil-thin spires.

Etymology
Two Arabic words are used to denot",minarets,['deno']
"Mount Huntington may refer to one of three peaks in the United States:

Mount Huntington (Alaska)
Mount Huntington (California)
Mount Huntington (New Hampshire), see List of mountains of New Hampshire",mount huntington,['mount huntington']
"Mount Rinjani (Sasak: Gunong Rinjani, Indonesian: Gunung Rinjani) is an active volcano in Indonesia on the island of Lombok.",mount rinjani,['mount rinjani']
"At the foot of the mountain, a series of springs and endorheic basins were the only site in which the pupfish Cyprinodon alvarezi and Megupsilon apor",apo,['apo']
"Diamond Peak may refer to:

Diamond Peak (Arizona), a summit in the Grand Canyon
Diamond Peak (California)
Diamond Peak (Colorado)
Diamond Peak (Greenland), a mountain in the Stauning Alps
Diamond Peak (Idaho)
Diamond Peak (Montana), a mountain in Flathead County, Montana
Diamond Peak (Nevada)
Diamond Peak (ski area), a ski area in Nevada, United States
Diamond Peak (South Georgia)
Diamond Peak (Oregon)
Diamond Peak Wilderness, a wilderness area in Oregon that includes the Diamond Peak volcano
D",diamond peak,['diamond peak']
"Teide, or Mount Teide, (Spanish: El Teide, Pico del Teide, pronounced [ˈpiko ðel ˈtejðe], 'Peak of Teide') is a volcano on Tenerife in the Canary Islands, Spain.",teide,['teide']
"If measured from the ocean floor, its height of 7,500 m (24,600 ft) makes Teide the third-highest volcano in the world, UNESCO and NASA rank it as Earth's third-tallest volcanic structure.",teide,['teide']
Teide's eleva,teide,['teide']
"Asperity Mountain is a mountain located in British Columbia, Canada, rising to 3,716 metres (12,192 ft).",asperity mountain,['asperity mountain']
"The Cerro de la Viga is a mountain located in the municipalities of Arteaga, Coahuila and Santiago, Nuevo León in northeastern Mexico.",cerro de la viga,['cerro de la viga']
"Delano Peak is a mountain in the Tushar Mountains in the Fishlake National Forest in Beaver and Piute counties in Utah, United States.

Description
The peak (pronounced deh-lah-no), is the highest point in the Tushar Mountains and in both Beaver and Piute counties.",delano peak,['delano peak']
"The Tushar Mountains are the third-highest range in the state, after the Uinta Mountains and the La Sal Range, though Delano Peak itself is surpassed in height by at least thirty-one other Utah peaks.",delano peak,['delano peak']
"Sahand (Persian: سهند), is a massive, heavily eroded stratovolcano in East Azerbaijan Province, northwestern Iran.",sahand,['sahand']
"At 3,707 m (12,162 ft), it is the highest mountain in the  province of East Azerbaijan.
Sahand is one of the highest mountains in Iranian Azerbaijan, in addition to being an important dormant volcano in the country.",sahand,['sahand']
"The Sahand mountains are directly south of Tabriz, the highest peak of which is Kamal at an elevation of 3,707 m (12,162 ft).",sahand,['sahand']
"Monte San Lorenzo, also known as Monte Cochrane, is a mountain on the border between Argentina and Chile in Patagonia, reaching a height of 3,706 metres (12,159 ft).",monte san lorenzo,['monte san lorenzo']
"The Wetterhorn (3,690 m) is a peak in the Swiss Alps towering above the village of Grindelwald.",wetterhorn,['wetterhorn']
"Formerly known as Hasle Jungfrau, it is one of three summits on a mountain named the ""Wetterhörner"", the highest of which is the Mittelhorn (3,702 m) and the lowest and most distant the Rosenhorn (3,689 m).",wetterhorn,['jungfrau']
"The latter peaks are mostly hidden from view from Grindelwald.
The Grosse Scheidegg Pass crosses the col to the north, between the Wetterhorn and the Schwarzhorn.

Ascents
The Wetterhorn summit was",wetterhorn,['wetterhorn']
"Mount Valhalla may refer to:

Mount Valhalla (Antarctica)
Mount Valhalla (Alaska)",mount valhalla,['mount valhalla']
"Dent Parrachée is a mountain of Savoie, France.",dent parrachée,['dent parrachée']
"Gunnbjørn Fjeld is the highest mountain in Greenland, Denmark, and north of the Arctic Circle.",gunnbjørn,['gunnbjørn']
"It is a nunatak, a rocky peak protruding through glacial ice.

Geography
Gunnbjørn Fjeld is located in the Watkins Range, an area of nunataks on the east coast, which contains several other summits above 3,500 metres.",gunnbjørn,['gunnbjørn']
"North Twin is the third-highest peak in the Canadian Rockies, after Mount Robson and Mount Columbia.
The massif was named The Twins in 1898 by J.",mount columbia,"['mount columbia', 'mount robson', 'mount columbia']"
"Monte Disgrazia ('Mount Disgrace'; adapting Lombard: Mont Des'giascia, lit. 'Mount Defrost'; 3,678 m) is a mountain in the Bregaglia range in the Italian Alps.",monte disgrazia,['monte disgrazia']
"The Semeru (Javanese: ꦱꦼꦩꦺꦫꦸ), or Mount Semeru (Javanese: ꦒꦸꦤꦸꦁ​ꦱꦼꦩꦺꦫꦸ, Indonesian: Gunung Semeru)  is an active volcano located in East Java, Indonesia.",semeru,['semeru']
"The name ""Semeru"" is derived from Meru, the central world mountain in Hinduism, or Sumeru, the abode of gods.",semeru,['semeru']
"Les Bans (3,669 m) is a mountain in the Massif des Écrins in the Dauphiné Alps, first climbed by W.",les bans,['les bans']
"Almer on July 14, 1878.
There are three main summits on the mountain:

South summit 3,669 m
North-west summit 3,630 m
North summit 3,662 m

Huts
Chalet Hôtel du Gioberney (1,700 m)
Les Bans hut (2,076 m)
Pilatte refuge (2,580 m)

Gallery
External links
Les Bans on SummitPost",les bans,['les bans']
"Cloudveil Dome (12,031 feet (3,667 m)) is located in the Teton Range, Grand Teton National Park, Wyoming, immediately southeast of Grand Teton.",dom,"['dom', 'grand teton', 'cloudveil dome']"
"The peak is in the central portions of the range, immediately east of South Teton and is sometimes considered to be part of what is collectively known as the Cathedral Group.",dom,['south teton']
Cloudveil Dome rises to the south of Garnet Canyon.,dom,"['dom', 'cloudveil dome']"
"Thor Peak may refer to:

Mount Thor, Nunavut (or Baffin Island), Canada
Thor Peak (California)
Thor Peak (Washington)
Thor Peak (Wyoming)

See also
Mount Thor (disambiguation)",thor peak,['thor peak']
"Medicine Bow Peak (12,018 ft (3,663 m)) is the highest peak in the Snowy Range, a part of the Medicine Bow Mountains, about 35 miles (56 km) west of Laramie, Wyoming.",medicine bow peak,['medicine bow peak']
"Hyndman Peak, at an elevation of 12,012 feet (3,661 m) above sea level, is the ninth highest peak in Idaho and the highest point in the Pioneer Mountains, Sawtooth National Forest, and Blaine County.",hyndman peak,['hyndman peak']
Hyndman Peak is located on the border of Custer and Blaine counties.,hyndman peak,['hyndman peak']
The first recorded ascent of Hyndman Peak w,hyndman peak,['hyndman peak']
Mount Clemenceau is the fourth highest mountain in the Park Ranges of the Canadian Rockies.,mount clemenceau,['mount clemenceau']
"They consist of two or three shield volcanoes, named Mount Rees, Mount Steere and Mount Frakes, which developed during the course of the Miocene and Pliocene and last erupted about 30,000-40,000 years ago.",mount frakes,"['mount frakes', 'mount steere']"
"The first two volcanoes are both heavily incised by cirques, while Mount Frakes is better preserved and has a 4 kilometres (2.5 mi) wide caldera at its summit.",mount frakes,['mount frakes']
"Grande Motte is a mountain of Savoie, France.",grande motte,['grande motte']
"Sierra Blanca may refer to:

Sierra Blanca (Colorado), a mountain range
Sierra Blanca (New Mexico), a mountain range
Sierra Blanca (Andalusia), a mountain range near Málaga, Spain
Sierra Blanca, Texas, a census-designated place",sierra blanca,['sierra blanca']
"Pointe de la Fournache is a mountain of Savoie, France.",dent parrachée,['pointe de la fournache']
"It has an elevation of 3,642 metres (11,949 ft) above sea level.
Pointe de la Fournache lies north of Aussois and southwest of Dent Parrachée (3,697 metres (12,129 ft)).",dent parrachée,"['dent parrachée', 'pointe de la fournache']"
"The summit is very close to Dent Parrachée, which is separated by a short ridge.",dent parrachée,['dent parrachée']
"Buck Mountain may refer to:

Buck Mountain (Lassen, California) (8,634 feet), in the Warner Mountains
Buck Mountain (Palisades, California) (12,841 feet), in the Central Sierra Nevada
Buck Mountain (Colorado) (11,396 feet), in the Rocky Mountain's Park Range
Buck Mountain (Iron County, Missouri) (1,624 feet), in the Ozark Highlands
Buck Mountain (Madison County, Missouri) (1,129 feet), in the Ozark Highlands
Buck Mountain (St.",buck mountain,['buck mountain']
"Mount Nebo (Arabic: جَبَل نِيبُو, romanized: Jabal Nībū; Hebrew: הַר נְבוֹ‎, romanized: Har Nəḇō) is an elevated ridge located in Jordan, approximately 700 metres (2,300 ft) above sea level.",mount nebo,['mount nebo']
"Part of the Abarim mountain range, Mount Nebo is mentioned in the Bible as the place where Moses was granted a view of the Promised Land before his death.",mount nebo,['mount nebo']
"Mount Charleston, including Charleston Peak (Nuvagantu, literally ""where snow sits"", in Southern Paiute or Nüpakatütün in Shoshoni) at 11,916 feet (3,632 m), is the highest mountain in both the Spring Mountains and Clark County, in Nevada, United States.",mount charleston,['mount charleston']
Hintere Schwärze (German pronunciation: [ˈhɪntəʀə ˈʃvɛʁʦə] ; Italian: Cima Nera) is a mountain on the border between Austria and Italy.,hintere schwärze,['hintere schwärze']
"Nez Perce Peak (11,906 ft (3,629 m)) is located in the Teton Range, Grand Teton National Park, Wyoming, immediately southeast of Grand Teton.",dom,"['grand teton', 'nez perce peak']"
"The peak is in the central portions of the range, immediately east of Cloudveil Dome and is sometimes considered to be part of what is collectively known as the Cathedral Group.",dom,"['dom', 'cloudveil dome']"
Nez Perce rises to the south of Garnet Canyon and is a dramatic peak that dominates the skyline to the west of Bradley and Taggart Lakes.,dom,['dom']
"Mount Alberta is a mountain located in the upper Athabasca River Valley of Jasper National Park, Alberta, Canada.",mount alberta,['mount alberta']
"It is the most difficult of the 11,000ers from a climbing point of view.
Mount Alberta is the fifth-highest peak of the Canadian Rockies and the third highest in Alberta.",mount alberta,['mount alberta']
"Mount Assiniboine, also known as Assiniboine Mountain, is a pyramidal peak mountain on the Great Divide, on the British Columbia/Alberta border in Canada.
At 3,618 m (11,870 ft), it is the highest peak in the Southern Continental Ranges of the Canadian Rockies.",mount assiniboine,['mount assiniboine']
"Mount Assiniboine rises nearly 1,525 m (5,003 ft) above Lake Magog.",mount assiniboine,['mount assiniboine']
"Because of its resemblance to the Matterhorn in the Alps, it is nicknamed the ""Matterhorn of the Rockies"".
Mount Assiniboine was named by George M.",mount assiniboine,"['matterhorn', 'mount assiniboine']"
"The Tödi (3,613 metres (11,854 ft)), is a mountain massif and with the mountain peak Piz Russein the highest mountain in the Glarus Alps and the highest summit in the canton of Glarus, Switzerland.",tödi,['tödi']
"Although not the culminating point of Graubünden, it is its highest peak outside the Bernina range.

Geography
The Tödi",tödi,['tödi']
Mount Forbes is the seventh tallest mountain in the Canadian Rockies and the tallest within the boundaries of Banff National Park.,mount forbes,['mount forbes']
"The mountain was named by James Hector in 1859 after Edward Forbes, Hector's natural history professor at the University of Edinburgh during the mid-19th century.
Mount Forbes was first ascended on August 10, 1902, by the Swiss brothers Christian and Hans Kaufm",mount forbes,['mount forbes']
"Lautaro (Anglicized as 'Levtaru') (Mapudungun: Lef-Traru ""swift hawk"") (Spanish pronunciation: [lawˈtaɾo]; c.",lautaro,['lautaro']
"Dôme de la Sache is a mountain of Savoie, France.",dôme de la sache,['dôme de la sache']
"Dôme de l'Arpont is a mountain of Savoie, France.",dôme de l'arpont,"[""dôme de l'arpont""]"
"Dôme de Chasseforêt is a mountain of Savoie, France.",dôme de chasseforêt,['dôme de chasseforêt']
"Sierra Velluda is a massive Pleistocene stratovolcano located immediately southwest of the 
Antuco Volcano, in the Bío Bío Region of Chile.",sierra velluda,['sierra velluda']
"The heavily glaciated mountain has two main summits and is the tallest mountain in Laguna del Laja National Park.
Sierra Velluda was formed in two stages.",sierra velluda,['sierra velluda']
"Grand Roc Noir is a mountain of Savoie, France.",grand roc noir,"['grand roc noir', 'grand roc']"
"Mount Timpanogos, often referred to as Timp, is the second-highest mountain in Utah's Wasatch Range.",mount timpanogos,['mount timpanogos']
"Dôme des Nants is a mountain of Savoie, France.",dôme des nants,['dôme des nants']
"Ryan Peak may refer to:

Ryan Peak (Antarctica)
Ryan Peak (Idaho)",ryan peak,['ryan peak']
